Restaurant Name,Cuisine Type,Neighborhood,Address,City,State Zip,Phone,Rating,Website
Bestia,Italian,Arts District,2121 E 7th Pl, Los Angeles, CA 90021,(213) 514-5724,4.6,https://bestiala.com
Bavel,Middle Eastern,Arts District,500 Mateo St, Los Angeles, CA 90013,(213) 232-4966,4.6,https://baveldtla.com
Guerrilla Tacos,Mexican,Arts District,2000 E 7th St, Los Angeles, CA 90021,(213) 375-3300,4.4,https://guerrillatacos.com
Republic,Modern American,Hancock Park,624 S La Brea Ave, Los Angeles, CA 90036,(310) 362-6115,4.5,https://republicrestaurant.com
Musso & Frank Grill,Steakhouse,Hollywood,6667 Hollywood Blvd, Los Angeles, CA 90028,(323) 467-7788,4.5,https://mussoandfrank.com
L’Antica Pizzeria Da Michele,Italian,Hollywood,1534 N McCadden Pl, Los Angeles, CA 90028,(323) 366-2408,4.4,https://damicheleusa.com
Providence,Seafood,Fairfax District,5955 Melrose Ave, Los Angeles, CA 90038,(323) 460-4170,4.7,https://providencela.com
Guelaguetza,Oaxacan,Koreatown,3014 W Olympic Blvd, Los Angeles, CA 90006,(213) 427-0608,4.6,https://ilovemole.com
Park’s BBQ,Korean BBQ,Koreatown,955 S Vermont Ave, Los Angeles, CA 90006,(213) 380-1717,4.6,https://parksbbq.com
Sun Nong Dan,Korean,Koreatown,3470 W 6th St #7, Los Angeles, CA 90020,(213) 365-0303,4.5,https://sunnongdan.com
Jon & Vinny’s,Italian,Fairfax District,412 N Fairfax Ave, Los Angeles, CA 90036,(323) 334-3360,4.5,https://jonandvinnys.com
Night + Market Song,Thai,Silver Lake,3327 W Sunset Blvd, Los Angeles, CA 90026,(323) 665-5899,4.4,https://nightmarketla.com
Pizzana,Italian,Brentwood,11712 San Vicente Blvd, Los Angeles, CA 90049,(310) 481-7108,4.5,https://pizzana.com
Sugarfish by Sushi Nozawa,Sushi,Multiple Locations,6115 Sunset Blvd, Los Angeles, CA 90028,(323) 843-4070,4.6,https://sugarfishsushi.com
n/naka,Japanese,Koreatown/Palms,3455 S Overland Ave, Los Angeles, CA 90034,(310) 836-6252,4.8,https://n-naka.com
Sushi Gen,Sushi,Little Tokyo,422 E 2nd St, Los Angeles, CA 90012,(213) 617-0552,4.6,https://sushigenla.com
Daikokuya Ramen,Ramen,Little Tokyo,327 E 1st St, Los Angeles, CA 90012,(213) 626-1680,4.5,https://daikoku-ten.com
